region,id,page,constituents,coalesced,text_length,lines,observations,ordinal,kind,start,end,substring,arithmetic,semantic,nearest,displacement
3,fa7e8fbffdfce6f14696809d6963d3c99fdeb0e2be40cc4b94754132fdb64c78,1,1,False,24,1,2,1,BOLD,0,24,Current repository state,True,True,,
3,fa7e8fbffdfce6f14696809d6963d3c99fdeb0e2be40cc4b94754132fdb64c78,1,1,False,24,1,2,2,ENLARGED_TEXT,0,24,Current repository state,True,True,,
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,1,LINE_BREAK,81,81,,True,False,83,2
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,2,LINE_BREAK,124,124,,True,False,126,2
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,3,PARAGRAPH_BREAK,124,125,g,True,False,126,2
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,4,LINE_BREAK,174,174,,True,False,177,3
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,5,LINE_BREAK,222,222,,True,False,225,3
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,6,PARAGRAPH_BREAK,222,223,u,True,False,225,3
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,7,LINE_BREAK,257,257,,True,False,258,1
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,8,LINE_BREAK,312,312,,True,False,315,3
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,9,PARAGRAPH_BREAK,312,313,i,True,False,315,3
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,10,LINE_BREAK,363,363,,True,False,364,1
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,11,LINE_BREAK,415,415,,True,False,411,-4
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,12,PARAGRAPH_BREAK,415,416,0,True,False,410,-5
